1399764962,GYA3808,PAS,BX,NY,41,POLICE DEPARTMENT,NO STANDING-BUS STOP,,03/13/2016,05:48P,,0.00,125.00,10,115,0.00,0.00
1399767720,HFB2627,PAS,BX,NY,41,POLICE DEPARTMENT,NO STANDING-DAY/TIME LIMITS,,03/31/2016,02:38A,,0.00,125.00,10,115,0.00,0.00
1399775789,HCG2668,PAS,BX,NY,52,POLICE DEPARTMENT,PEDESTRIAN RAMP,HEARING HELD-NOT GUILTY,03/28/2016,00:27A,,0.00,0.00,10,165,0.00,175.00
1399790262,42959JZ,999,BX,99,47,POLICE DEPARTMENT,DOUBLE PARKING,HEARING HELD-NOT GUILTY,03/03/2016,11:50A,,0.00,0.00,10,115,0.00,125.00
1399853340,Y67DIJ,PAS,BX,FL,50,POLICE DEPARTMENT,PEDESTRIAN RAMP,,03/13/2016,08:25A,,0.00,175.00,10,165,0.00,0.00
1399962012,GMK1179,PAS,BX,NY,49,POLICE DEPARTMENT,DOUBLE PARKING,,03/31/2016,07:03P,,0.00,125.00,10,115,0.00,0.00
1399967472,GZH7914,PAS,BX,NY,44,POLICE DEPARTMENT,DOUBLE PARKING,,03/09/2016,05:30P,,0.00,145.00,30,115,0.00,0.00
1399967654,JTG2738,PAS,BX,PA,44,POLICE DEPARTMENT,NO PARKING-DAY/TIME LIMITS,,03/07/2016,09:42P,,0.00,70.00,10,60,0.00,0.00
1400103370,23614MG,COM,BX,NY,49,POLICE DEPARTMENT,NGHT PKG ON RESID STR-COMM VEH,HEARING HELD-GUILTY REDUCTION,03/23/2016,02:10A,,0.00,28.00,0,65,0.00,37.00
1400126873,HDF3690,PAS,Q,NY,115,POLICE DEPARTMENT,FIRE HYDRANT,,03/07/2016,01:15A,,0.00,145.00,30,115,0.00,0.00
1400128390,T604827C,OMT,Q,NY,115,POLICE DEPARTMENT,NO STANDING-DAY/TIME LIMITS,HEARING HELD-NOT GUILTY,03/01/2016,03:40A,,0.00,0.00,30,115,0.00,145.00
1400173711,ECB8799,PAS,Q,NY,104,POLICE DEPARTMENT,CROSSWALK,,03/03/2016,10:43A,,0.00,145.00,30,115,0.00,0.00
1400233306,GPN1495,PAS,Q,NY,108,POLICE DEPARTMENT,OVERTIME STDG D/S,,03/20/2016,03:55A,,0.00,83.00,10,73,0.00,0.00
1400237701,GEU9582,PAS,Q,NY,115,POLICE DEPARTMENT,OBSTRUCTING DRIVEWAY,HEARING HELD-GUILTY,03/28/2016,12:45P,,0.00,95.00,0,95,0.00,0.00
1400427629,FXV8209,PAS,K,NY,67,POLICE DEPARTMENT,DOUBLE PARKING,HEARING HELD-GUILTY,03/22/2016,04:42P,,0.00,115.00,0,115,0.00,0.00
1400532450,XCCK31,PAS,,NJ,0,POLICE DEPARTMENT,EXPIRED MUNI METER,HEARING HELD-NOT GUILTY,03/23/2016,03:33P,,0.00,0.00,0,35,0.00,35.00
1400538439,38409MD,COM,K,NY,73,POLICE DEPARTMENT,NO PARKING-STREET CLEANING,,03/01/2016,09:56A,,0.00,75.00,30,45,0.00,0.00
1400544040,HDW2574,PAS,Q,NY,107,POLICE DEPARTMENT,NO PARKING-STREET CLEANING,HEARING HELD-GUILTY,03/30/2016,10:42A,,0.00,45.00,0,45,0.00,0.00
1400583457,XAAH14,PAS,K,NJ,76,POLICE DEPARTMENT,DOUBLE PARKING,HEARING HELD-NOT GUILTY,03/29/2016,03:07P,,0.00,0.00,10,115,0.00,125.00
